epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,215.631,0.52385,0.98,1,0.0796,0.000368482,0.000368482,0.000368482
2,426.467,0.19911,0.985,1,0.05335,0.00059253,0.00059253,0.00059253
3,614.501,0.14518,0.98875,1,0.03589,0.000669926,0.000669926,0.000669926
4,791.561,0.12152,0.98875,1,0.03321,0.000451066,0.000451066,0.000451066
5,966.392,0.07435,0.99375,1,0.02225,0.000231088,0.000231088,0.000231088
